,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor,paper_key,place_holder,month_year
56,2-s2.0-54949123049,10.1039/b809238a,,18956055,"Fluorescent probe: Complexation of Fe<sup>3+</sup>with the myo-inositol 1,2,3-trisphosphate motif",ar,Article,Mansell D.,60071612;60015138;60014551;60012311;60003771,Universidad de la Republica;University of Nottingham;Aston University;Karolinska Institutet;The University of Manchester,Montevideo;Nottingham;Birmingham;Stockholm;Manchester,Uruguay;United Kingdom;United Kingdom;Sweden;United Kingdom,11,"['Mansell, David', 'Rattray, Nicholas', 'Etchells, Laura L.', 'Schwalbe, Carl H.', 'Blake, Alexander J.', 'Bichenkova, Elena V.', 'Bryce, Richard A.', 'Barker, Christopher J.', 'Díaz, Alvaro', 'Kremer, Carlos', 'Freeman, Sally']","['24067303500', '24336413800', '8275276700', '7005602251', '24309537200', '6603926867', '7006481959', '7201818641', '7201946596', '7006969901', '16143095900']",60003771;60003771;60003771;60014551;60015138;60003771;60003771;60012311;60071612;60071612;60003771,2008-01-01,2008,Chemical Communications,13597345,22781,,Journal,,41,,5161-5163,"Natural myo-inositol phosphate antioxidants containing the 1,2,3-trisphosphate motif bind Fe3+ in the unstable penta-axial conformation. © The Royal Society of Chemistry.",,27,0,,undefined,,papers by authors,0.0,2008-01-01
57,2-s2.0-35348936667,10.1080/14756360701485760,783036471,18035832,Difluoro analogue of UCS15A triggers activation of exogenously expressed c-Src in HCT 116 human colorectal carcinoma cells,ar,Article,Atatreh N.,60120602;60003771,Cancer Research UK Manchester Institute;The University of Manchester,Manchester;Manchester,United Kingdom;United Kingdom,7,"['Atatreh, Noor', 'Barraclough, Jane', 'Welman, Arkadiusz', 'Cawthorne, Christopher', 'Bryce, Richard A.', 'Dive, Caroline', 'Freeman, Sally']","['22933583200', '8983656600', '57203361752', '8983656400', '7006481959', '7004424860', '16143095900']",60003771;60120602;60120602;60120602;60003771;60120602;60003771,2007-10-01,October 2007,Journal of Enzyme Inhibition and Medicinal Chemistry,14756366,17605,14756374,Journal,22,5,,638-646,"UCS15A, an antibiotic produced by Streptomyces sp., has been reported to specifically disrupt SH3 domain-mediated interactions in eukaryotic cells. Interestingly, in the case of the non-receptor tyrosine kinase Src, UCS15A was effective in suppressing the SH3 domain-mediated intermolecular rather than intramolecular interactions, and thus prevented Src interactions with certain downstream effectors without affecting Src kinase activity. Here the synthesis of a novel difluoro analogue of UCS15A is described. The effects of this compound (8) on Src activity were tested in HCT 116 colorectal carcinoma cells engineered for inducible expression of c-Src. The presence of compound (8) resulted in the increased activity of the induced c-Src implicating that (8) acts as a c-Src activator in vivo. These observations are supported by computer modelling studies which suggest that the aldehyde group of (8) may covalently bind to a lysine residue in the SH2-kinase linker region situated in the proximity of the SH3 domain, which could promote a conformational change resulting in increased Src activity.",Activator | C-Src | Inhibitor | Kinase activity | Src homology domain | UCS15A,4,0,,undefined,,papers by authors,0.5,2007-10-01
58,2-s2.0-34047266816,10.1016/j.ijpharm.2006.11.047,S0378517306010064,17188439,In vitro evaluation of dendrimer prodrugs for oral drug delivery,ar,Article,Najlah M.,60003771,The University of Manchester,Manchester,United Kingdom,4,"['Najlah, Mohammad', 'Freeman, Sally', 'Attwood, David', ""D'Emanuele, Antony""]","['11439157000', '16143095900', '55914301500', '7003886150']",60003771;60003771;60003771;60003771,2007-05-04,4 May 2007,International Journal of Pharmaceutics,03785173,22454,,Journal,336,1,,183-190,"Dendrimer-based prodrugs were used to enhance the transepithelial permeability of naproxen, a low solubility model drug. The stability of the dendrimer-naproxen link was assessed. Naproxen was conjugated to G0 polyamidoamine (PAMAM) dendrimers either by an amide bond or an ester bond. The stability of G0 prodrugs was evaluated in 80% human plasma and 50% rat liver homogenate. The cytotoxicity of conjugates towards Caco-2 cells was determined and the transport of the conjugates across Caco-2 monolayers (37 °C) was reported. In addition, one lauroyl chain (L) was attached to the surface group of G0 PAMAM dendrimer of the diethylene glycol ester conjugate (G0-deg-NAP) to enhance permeability. The lactic ester conjugate, G0-lact-NAP, hydrolyzed slowly in 80% human plasma and in 50% rat liver homogenate (t1/2 = 180 min). G0-deg-NAP was hydrolyzed more rapidly in 80% human plasma (t1/2 = 51 min) and was rapidly cleaved in 50% liver homogenate (t1/2 = 4.7 min). The conjugates were non-toxic when exposed to Caco-2 cells for 3 h. Permeability studies showed a significant enhancement in the transport of naproxen when conjugated to dendrimers; L-G0-deg-NAP yielding the highest permeability. Dendrimer-based prodrugs with appropriate linkers have potential as carriers for the oral delivery of low solubility drugs such as naproxen. © 2006 Elsevier B.V. All rights reserved.",Caco-2 cells | Enzymatic stability | PAMAM dendrimers | Prodrugs | Transepithelial transport,145,0,,undefined,,papers by authors,0.0,2007-05-01
59,2-s2.0-34347348280,10.1021/bc060325q,,17355118,Synthesis and assessment of first-generation polyamidoamine dendrimer prodrugs to enhance the cellular permeability of P-gp substrates,ar,Article,Najlah M.,60031259;60003771,University of Central Lancashire;The University of Manchester,Preston;Manchester,United Kingdom;United Kingdom,4,"['Najlah, Mohammad', 'Freeman, Sally', 'Attwood, David', ""D'Emanuele, Antony""]","['11439157000', '16143095900', '55914301500', '7003886150']",60003771-60031259;60003771;60003771;60003771-60031259,2007-05-01,May 2007,Bioconjugate Chemistry,10431802,16876,,Journal,18,3,,937-946,"The aim of this study is to evaluate the potential use of first-generation (G1) polyamidoamine (PAMAM) dendrimers as drug carriers to enhance the permeability, hence oral absorption, of drugs that are substrates for P-glycoprotein (P-gp) efflux transporters. G1 PAMAM dendrimer-based prodrugs of the water-insoluble P-gp substrate terfenadine (Ter) were synthesized using succinic acid (suc) or succinyl-diethylene glycol (suc-deg) as a linker/spacer (to yield G1-suc-Ter and G1-suc-deg-Ter, respectively). In addition, the permeability of G1-suc-deg-Ter was enhanced by attaching two lauroyl chains (L) to the dendrimer surface (L2-G1-suc-deg-Ter). All of the G1 dendrimer- terfenadine prodrugs were more hydrophilic than the parent drug, as evaluated by drug partitioning between 1-octanol and phosphate buffer at pH 7.4 (log K app). The influence of the dendrimer prodrugs on the integrity and viability of human Caucasian colon adenocarcinoma cells (Caco-2) was determined by measuring the transepithelial electrical resistance (TEER) and leakage of lactate dehydrogenase (LDH) enzyme, respectively. The LDH assay indicated that the dendrimer prodrugs had no impact on the viability of Caco-2 cells up to a concentration of 1 mM. However, the IC50 of the prodrugs was lower than that of G1 PAMAM dendrimer because of the high toxicity of terfenadine. Measurements of the transport of dendrimer prodrugs across monolayers of Caco-2 cells showed an increase of the apparent permeability coefficient (P app) of terfenadine in both apical-to-basolateral (A → B) and basolateral-to-apical (B → A) directions after its conjugation to G1 PAMAM dendrimer. The A → B Papp of the dendrimer prodrugs was significantly greater than B → A Papp. The surface-modified dendrimer prodrug L2-G1-suc-deg-Ter showed the highest A → B permeability among the conjugates. © 2007 American Chemical Society.",,41,0,,undefined,,papers by authors,0.5,2007-05-01
60,2-s2.0-34250206317,10.1211/jpp.59.4.0008,,17430637,"Design, synthesis and enzymatic evaluation of 6-bridged imidazolyluracil derivatives as inhibitors of human thymidine phosphorylase",ar,Article,McNally V.A.,60100065;60003771,Morvus Technology Limited;The University of Manchester,Carmarthen;Manchester,United Kingdom;United Kingdom,9,"['McNally, Virginia A.', 'Rajabi, Mehdi', 'Gbaj, Abdul', 'Stratford, Ian J.', 'Edwards, Philip N.', 'Douglas, Kenneth T.', 'Bryce, Richard A.', 'Jaffar, Mohammed', 'Freeman, Sally']","['55879115200', '55059863300', '8760689100', '7004547474', '8760689000', '7101692635', '7006481959', '7006611420', '16143095900']",60003771;60003771;60003771;60003771;60003771;60003771;60003771;60100065;60003771,2007-04-01,April 2007,Journal of Pharmacy and Pharmacology,00223573,23102,,Journal,59,4,,537-547,"A series of novel imidazolyluracil conjugates were rationally designed and synthesised to probe the active site constraints of the angiogenic enzyme, thymidine phosphorylase (TP, E.C. 2.4.2.4). The lead compound in the series, 15d, showed good binding in the active site of human TP with an inhibition in the low μM range. The absence of a methylene bridge between the uracil and the imidazolyl subunits (series 16) decreased potency (up to 3-fold). Modelling suggested that active site residues Arg202, Ser217 and His116 are important for inhibitor binding. © 2007 The Authors.",,19,0,MRC,G0500366,Medical Research Council,papers by authors,0.0,2007-04-01
61,2-s2.0-33750714043,10.1246/cl.2006.868,,,Locked energy of axial to equatorial transformation monitored by exciplex and excimer fluorescence,ar,Article,Kadirvel M.,60031259;60003771,University of Central Lancashire;The University of Manchester,Preston;Manchester,United Kingdom;United Kingdom,4,"['Kadirvel, Manikandan', 'Bichenkova, Elena V.', ""D'Emanuele, Antony"", 'Freeman, Sally']","['15056138700', '6603926867', '7003886150', '16143095900']",60003771;60003771;60003771-60031259;60003771,2006-08-05,5 August 2006,Chemistry Letters,03667022,23418,,Journal,35,8,,868-869,"2-O-tert-Butyldimethylsilyl-4,6-bispyrenoyl-myo-inositol-1,3,5-orthoformate (1) and 2-O-tert-butyldimethylsilyl-4-[(4-dimethylamino)benzoyl]-6-pyrenoyl- myo-inositol-1,3,5-orthoacetate (2) adopt unstable chair conformations with five substituents axial, in which the aromatic esters participate in π-stacking, and give excimer and exciplex fluorescence, respectively. Upon addition of acid, the orthoformate/orthoacetate lock is cleaved, which allows the inositol ring to switch to the more stable penta-equatorial chair conformation, with loss of exciplex/excimer fluorescence. Copyright © 2006 The Chemical Society of Japan.",,9,0,,undefined,,papers by authors,0.0,2006-08-01
62,2-s2.0-33646428920,10.1016/j.jpba.2006.02.007,S0731708506001762,16569488,"Analytical characterisation of the routes by thermolytic decarboxylation from tryptophan to tryptamine using ketone catalysts, resulting in tetrahydro-β-carboline formation",ar,Article,Brandt S.D.,60099298;60028355;60003771,Department of Chemical Engineering and Analytical Science;Liverpool John Moores University;The University of Manchester,Manchester;Liverpool;Manchester,United Kingdom;United Kingdom;United Kingdom,5,"['Brandt, Simon D.', 'Mansell, David', 'Freeman, Sally', 'Fleet, Ian A.', 'Alder, John F.']","['7202305906', '24067303500', '16143095900', '7004340158', '7004345963']",60028355;60003771;60003771;60099298;60099298,2006-06-07,7 June 2006,Journal of Pharmaceutical and Biomedical Analysis,07317085,23061,,Journal,41,3,,872-882,"N-Alkylated tryptamines have complex psychoactive properties. Routes for clandestine synthesis are described on Internet websites one of which involves the thermolytic decarboxylation of tryptophan to tryptamine as a precursor to psychoactive compounds. High boiling solvents and ketone catalysts have been employed to facilitate the decarboxylation of tryptophan. The present study has revealed that there is formation of tetrahydro-β-carboline (THBC) derivatives which may originate from reaction with both the solvent and the ketone catalyst. The application of gas chromatography electron- and chemical-ionisation ion trap tandem mass spectrometry (GC-IT-MS-MS), in combination with nuclear magnetic resonance (NMR), led to the isolation and identification of 1,1-disubstituted-tetrahydro-β-carbolines formed as major impurities in the tryptamine. Confirmation was by synthesis of the THBC derivatives from tryptamine using Pictet-Spengler cyclisation. Under EI-conditions, mass spectral characterisation of the THBCs suggests predominance of alkyl cleavage. These impurities will yield a useful profile for identification of the synthetic pathway and likely reagents employed, particularly a ""fingerprint"" of the ketone catalyst and an insight into the influence of solvents and catalysts on the formation of by-products. © 2006 Elsevier B.V. All rights reserved.",Analytical chemistry | Biological activities | Decarboxylation | Fingerprint | Forensic | Hallucinogens | Synthesis | Tetrahydro-β-carbolines | Tryptamines,16,0,,undefined,,papers by authors,0.0,2006-06-01
63,2-s2.0-30744466666,10.1016/j.ijpharm.2005.10.033,S0378517305007015,16384673,"Synthesis, characterization and stability of dendrimer prodrugs",ar,Article,Najlah M.,60003771,The University of Manchester,Manchester,United Kingdom,4,"['Najlah, Mohammad', 'Freeman, Sally', 'Attwood, David', ""D'Emanuele, Antony""]","['11439157000', '16143095900', '55914301500', '7003886150']",60003771;60003771;60003771;60003771,2006-02-03,3 February 2006,International Journal of Pharmaceutics,03785173,22454,,Journal,308,1-2,,175-182,"The design, synthesis and characterization of a series of zero generation (G0) PAMAM dendrimer-based prodrugs for the potential enhancement of drug solubility and bioavailability are described. Naproxen, a poorly water-soluble drug, was conjugated to dendrimers either directly by an amide bond or by ester bonds using either l-lactic acid or diethylene glycol as a linker. All of the prodrugs were more hydrophilic than the parent drug, as evaluated by drug partitioning between 1-octanol and phosphate buffer (pH 7.4). Hydrolysis of the conjugates was measured at 37°C in hydrochloric acid buffer (pH 1.2), phosphate buffer (pH 7.4), borate buffer (pH 8.5) and in 80% human plasma. The amide conjugate and both ester conjugates were chemically stable at all pHs over 48 h of incubation. Naproxen was enzymatically released from both ester conjugates in plasma; the lactic ester conjugate hydrolyzed slowly with only 25% of naproxen released after 24 h, the diethylene glycol ester conjugate cleaved rapidly following pseudo first order kinetics (t1/2 = 51 min). G0 PAMAM dendrimer prodrugs with an appropriate linker (diethylene glycol) show good potential as carriers for oral delivery. © 2005 Elsevier B.V. All rights reserved.",Dendrimers | PAMAM | Prodrugs | Solubility,123,0,,undefined,,papers by authors,0.0,2006-02-01
64,2-s2.0-33646099832,10.1080/14756360500424010,N2388101226531,16570508,Thymidine phosphorylase from Escherichia coli: Tight-binding inhibitors as enzyme active-site titrants,ar,Article,Gbaj A.,60003771,The University of Manchester,Manchester,United Kingdom,6,"['Gbaj, Abdul', 'Edwards, Philip N.', 'Reigan, Philip', 'Freeman, Sally', 'Jaffar, Mohammed', 'Douglas, Kenneth T.']","['8760689100', '8760689000', '8861836800', '16143095900', '7006611420', '7101692635']",60003771;60003771;60003771;60003771;60003771;60003771,2006-02-01,February 2006,Journal of Enzyme Inhibition and Medicinal Chemistry,14756366,17605,14756374,Journal,21,1,,69-73,"Thymidine phosphorylase (EC 2.4.2.4) catalyses the reversible phosphorolysis of pyrimidine 2′-deoxynucleosides, forming 2-deoxyribose-1-phosphate and pyrimidine. 5-Chloro-6-(2-imino-pyrrolidin-1-yl)methyl-uracil hydrochloride (TPI, 1) and its 5-bromo analogue (2), 6-(2-amino-imidazol-1-yl) methyl-5-bromo-uracil (3) and its 5-chloro analogue (4) act as tight-binding stoichiometric inhibitors of recombinant E. coli thymidine phosphorylase, and thus can be used as the first active-site titrants for it using either thymidine or 5-nitro-2′-deoxyuridine as substrate. © 2006 Taylor & Francis.",Angiogenesis | Anticancer drugs | Inhibitors | Stoichiometric inhibition | Thymidine phosphorylase | Transition state inhibitor,17,0,,undefined,,papers by authors,0.5,2006-02-01
65,2-s2.0-19944432264,10.1021/jm049494r,,15658853,Aminoimidazolylmethyluracil analogues as potent inhibitors of thymidine phosphorylase and their bioreductive nitroimidazolyl prodrugs,ar,Article,Reigan P.,60004219;60003771,AstraZeneca;The University of Manchester,Cambridge;Manchester,United Kingdom;United Kingdom,13,"['Reigan, Philip', 'Edwards, Philip N.', 'Gbaj, Abdul', 'Cole, Christian', 'Barry, Simon T.', 'Page, Ken M.', 'Ashton, Susan E.', 'Luke, Richard W.A.', 'Douglas, Kenneth T.', 'Stratford, Ian J.', 'Jaffar, Mohammed', 'Bryce, Richard A.', 'Freeman, Sally']","['8861836800', '8760689000', '8760689100', '7202468472', '7102878789', '7102902119', '7005705242', '7102188780', '7101692635', '7004547474', '7006611420', '7006481959', '16143095900']",60003771;60003771;60003771;60003771;60004219;60004219;60004219;60004219;60003771;60003771;60003771;60003771;60003771,2005-01-27,27 January 2005,Journal of Medicinal Chemistry,00222623,23041,,Journal,48,2,,392-402,"Thymidine phosphorylase (TP) is an important target enzyme for cancer chemotherapy because it is expressed at high levels in the hypoxic regions of many tumors and inhibitors of TP have been shown in animal model studies to inhibit angiogenesis and metastasis, and to promote tumor cell apoptosis. The 5-halo-6-[(2′-aminoimidazol-1′-yl)methyl]uracils (3, X = Cl, Br) are very potent inhibitors of E. coli and human TP with IC50 values of ∼20 nM when the enzyme concentration is ∼40 nM. Their 4′-aminoimidazol-1′-yl analogues (4, X = Cl, Br) are >350-fold less active with IC50 values of ∼7 μM. The 5-unsubstituted analogues (3 and 4, X = H) were both less active than their 5-halo derivatives. Determination of pKa values and molecular modeling studies of these compounds in the active site of human TP was used to rationalize their activities. The finding that 3, X = Br has a poor pharmacokinetic (PK) profile in mice, coupled with the desire for tumor selectivity, led us to design prodrugs. The corresponding 2′-nitroimidazol-1′-ylmethyluracils (5, X = Cl, Br) are >1000-fold less active (IC50 22-24 μM) than their 2′-amino analogues and are reduced to the 2′-amino inhibitors (3, X = Cl, Br) by xanthine oxidase (XO). As XO is also highly expressed in many tumors, the 2′-nitro prodrugs have the potential to selectively deliver the potent 2′-aminoimidazol-1′-yl TP inhibitors into hypoxic solid tumors.",,50,0,,undefined,,papers by authors,0.5,2005-01-01
66,2-s2.0-24944490378,10.1039/b504001a,,16096671,"Analytical chemistry of synthetic routes to psychoactive tryptamines Part III. Characterisation of the Speeter and Anthony route to N,N-dialkylated tryptamines using CI-IT-MS-MS",ar,Article,Brandt S.D.,60099298;60003771,Department of Chemical Engineering and Analytical Science;The University of Manchester,Manchester;Manchester,United Kingdom;United Kingdom,4,"['Brandt, Simon D.', 'Freeman, Sally', 'Fleet, Ian A.', 'Alder, John F.']","['7202305906', '16143095900', '7004340158', '7004345963']",60099298;60003771;60099298;60099298,2005-01-01,September 2005,Analyst,00032654,23909,,Journal,130,9,,1258-1262,"Twelve symmetrically and 13 asymmetrically N,N-disubstituted glyoxalylamide precursors and their corresponding tryptamine derivatives have been characterised by gas chromatography low-pressure chemical ionisation ion trap tandem mass spectrometry (CI-IT-MS-MS) with internal (in situ) ionisation using methanol as the chemical ionisation reagent. Mass spectral differences and similarities between the investigated compounds are discussed and put into context with previous investigations. In tryptamines the formation of [CH 2=N+R2R3] iminium ions after β-cleavage appears to be the dominating process. Dissociation of the protonated molecule into [3-vinylindole]+ for example, appears to be a minor pathway when compared with electrospray triple quadrupole tandem mass spectrometry (ESI-TQ-MS-MS) where this ion transition was found to be of distinctive importance. CI-IT-MS-MS is also found to enable the differentiation between most isomeric derivatives studied. © The Royal Society of Chemistry 2005.",,10,0,,undefined,,papers by authors,1.0,2005-01-01
67,2-s2.0-15244355527,10.1039/b413014f,,15724162,"Analytical chemistry of synthetic routes to psychoactive tryptamines Part II. Characterisation of the Speeter and Anthony synthetic route to N,N-dialkylated tryptamines using GC-EI-ITMS, ESI-TQ-MS-MS and NMR",ar,Article,Brandt S.D.,60003771,The University of Manchester,Manchester,United Kingdom,5,"['Brandt, Simon D.', 'Freeman, Sally', 'Fleet, Ian A.', 'McGagh, Peter', 'Alder, John F.']","['7202305906', '16143095900', '7004340158', '6508123118', '7004345963']",60003771;60003771;60003771;60003771;60003771,2005-01-01,March 2005,Analyst,00032654,23909,,Journal,130,3,,330-344,"The degree of alkylation of the side chain nitrogen in tryptamines is one important factor that affects psychoactivity. The method of Speeter and Anthony is considered to be one of the most important synthetic preparative methods. The final step in this reaction is based on the reduction of a (substituted) indole-3-yl-glyoxalylamide to the desired tryptamine with metal hydride. Twelve symmetrically and 13 asymmetrically N,N-disubstituted glyoxalylamides and their corresponding tryptamine derivatives have been synthesised and characterised by gas chromatography EI-ion trap mass spectrometry, electrospray-triple quadrupole-tandem mass spectrometry and NMR spectroscopy. Mass spectral and NMR similarities and differences between the investigated compounds are discussed. A solvent dependency is observed that has to be taken into consideration for the unambiguous assignment of 1H- and 13C-NMR chemical shifts. The 1H-NMR study demonstrated that one can evaluate the rotamer populations of the asymmetrical glyoxalylamides. In a forensic or clinical scenario where single or multiple reaction monitoring approaches are contemplated, the appropriate ion transitions of choice may then focus on the two main fragmentations, namely β-cleavage ([M+H]+ → CH2N+R2R3) and/or α-cleavage ([M+H]+ → [3-vinylindole]+), respectively. The synthesis, NMR and MS analytical data presented provide the forensic analyst and clinical biochemist with a detailed and self-consistent body of information and mechanisms for the spectral identification of the more likely psychoactive tryptamines that may be met. © The Royal Society of Chemistry 2005.",,40,0,,undefined,,papers by authors,1.5,2005-01-01
68,2-s2.0-7944239256,10.1016/j.jpba.2004.08.022,S0731708504004030,15533659,An analytical perspective on favoured synthetic routes to the psychoactive tryptamines,re,Review,Brandt S.,60003771,The University of Manchester,Manchester,United Kingdom,5,"['Brandt, Simon D.', 'Freeman, Sally', 'McGagh, Peter', 'Abdul-Halim, Norliza', 'Alder, John F.']","['7202305906', '16143095900', '6508123118', '6504299634', '7004345963']",60003771;60003771;60003771;60003771;60003771,2004-11-19,19 November 2004,Journal of Pharmaceutical and Biomedical Analysis,07317085,23061,,Journal,36,4,,675-691,"Many tryptamine derivatives are known to induce altered states of consciousness and are increasingly of interest in forensic and neurobiological studies. The analytical chemistry of certain synthetic routes to the tryptamines is discussed and likely side products and impurities identified, where literature reports are available. Recent examples from the authors' laboratory are presented to highlight future prospects and implications for analytical procedures. The aim of this review is to provide the analytical chemist with the foundation chemistry and some analytical targets to be able to undertake direct characterisation of products and intermediates. These might become available from interdiction of clandestine operations in a forensic environment or during the synthesis of the tryptamines for investigative neurobiological and clinical procedures. © 2004 Elsevier B.V. All rights reserved.",Analytical chemistry | Forensic studies | Neurobiological procedures | Tryptamines,19,0,DIAS,undefined,Division of Institution and Award Support,papers by authors,0.0,2004-11-01
69,2-s2.0-5344249376,10.1016/j.bmcl.2004.08.036,S0960894X04010443,15454205,Synthesis and enzymatic evaluation of xanthine oxidase-activated prodrugs based on inhibitors of thymidine phosphorylase,ar,Article,Reigan P.,60003771,The University of Manchester,Manchester,United Kingdom,6,"['Reigan, Philip', 'Gbaj, Abdul', 'Chinje, Edwin', 'Stratford, Ian J.', 'Douglas, Kenneth T.', 'Freeman, Sally']","['8861836800', '8760689100', '6701735587', '7004547474', '7101692635', '16143095900']",60003771;60003771;60003771;60003771;60003771;60003771,2004-11-01,1 November 2004,Bioorganic and Medicinal Chemistry Letters,0960894X,25788,,Journal,14,21,,5247-5250,A series of xanthine oxidase-activated prodrugs of known inhibitors of thymidine phosphorylase are described. These prodrugs were oxidised by xanthine oxidase at C-2 and/or C-4 of the uracil ring to generate the desired TP inhibitor. The scheme shows the prodrug of TPI. A series of xanthine oxidase-activated prodrugs of known inhibitors of thymidine phosphorylase has been designed and synthesised to introduce tumour selectivity. These prodrugs were oxidised by xanthine oxidase at C-2 and/or C-4 of the uracil ring to generate the desired TP inhibitor. © 2004 Elsevier Ltd. All rights reserved.,Inhibitor | Prodrug | Thymidine phosphorylase | Xanthine oxidase,22,0,MRC,undefined,Medical Research Council,papers by authors,0.5,2004-11-01
70,2-s2.0-8844246411,10.1039/b407239c,,15508033,"Analytical chemistry of synthetic routes to psychoactive tryptamines: Part I. Characterisation of the Speeter and Anthony synthetic route to 5-methoxy-N,N-diisopropyltryptamine using ESI-MS-MS and ESI-TOF-MS",ar,Article,Brandt S.D.,60003771,The University of Manchester,Manchester,United Kingdom,5,"['Brandt, Simon D.', 'Freeman, Sally', 'Fleet, Ian A.', 'McGagh, Peter', 'Alder, John F.']","['7202305906', '16143095900', '7004340158', '6508123118', '7004345963']",60003771;60003771;60003771;60003771;60003771,2004-01-01,November 2004,Analyst,00032654,23909,,Journal,129,11,,1047-1057,"5-Methoxy-N,N-diisopropyltryptamine (5-MeO-DIPT), a new psychoactive tryptamine derivative, has been synthesised by the Speeter and Anthony procedure. This synthetic route was characterised by ESI-MS-MS, ESI-TOF-MS and NMR. Side products have been identified as 3-(2-N,N-diisopropylamino-ethyl)-1H- indol-5-ol (5), 2-N,N-diisopropylamino-1-(5-methoxy-1H-indol-3-yl)-ethanol (6), 2-(5-methoxy-1H-indol-3-yl)-ethanol (7) and 2-N,N-diisopropylamino-1-(5-methoxy- 1H-indol-3-yl)-ethanone (8).",,19,0,,undefined,,papers by authors,0.0,2004-01-01
71,2-s2.0-0141433393,10.1016/j.bmcl.2003.08.010,S0960894X03008382,14552762,Identification of a novel class of inhibitor of human and Escherichia coli thymidine phosphorylase by in silico screening,ar,Article,McNally V.A.,60003771,The University of Manchester,Manchester,United Kingdom,7,"['McNally, V. A.', 'Gbaj, A.', 'Douglas, K. T.', 'Stratford, I. J.', 'Jaffar, M.', 'Freeman, S.', 'Bryce, R. A.']","['55879115200', '8760689100', '7101692635', '7004547474', '7006611420', '16143095900', '7006481959']",60003771;60003771;60003771;60003771;60003771;60003771;60003771,2003-11-03,3 November 2003,Bioorganic and Medicinal Chemistry Letters,0960894X,25788,,Journal,13,21,,3705-3709,"Structure-based computational screening of the National Cancer Institute database of anticancer compounds identified novel non-nucleobase-derived inhibitors of human thymidine phosphorylase as candidates for lead optimization. The hierarchical in silico screening strategy predicted potentially strong low molecular weight ligands exhibiting a range of molecular scaffolds. Of the thirteen ligands assayed for activity, all displayed inhibitory activity against Escherichia coli thymidine phosphorylase. One compound, hydrazine carboxamide 2-[(1-methyl-2,5-dioxo-4-pentyl-4-imidazolidinyl)methylene], was found to inhibit E. coli thymidine phosphorylase with an IC50 value of 20 μM and an IC50 value of 77 μM against human thymidine phosphorylase. As this hydantoin derivative lacks the undesirable ionic sites of existing tight-binding nucleobase-derived inhibitors, such as 5-chloro-6-[(2-iminopyrrolidin-1-yl)methyl]uracil hydrochloride, it provides an opportunity for the design of potent thymidine phosphorylase inhibitors with improved pharmacokinetic properties. © 2003 Elsevier Ltd. All rights reserved.",,19,0,MRC,undefined,Medical Research Council,papers by authors,0.0,2003-11-01
72,2-s2.0-0037448395,10.1021/jm020964w,,12519058,Potential tumor-selective nitroimidazolylmethyluracil prodrug derivatives: Inhibitors of the angiogenic enzyme thymidine phosphorylase,ar,Article,Cole C.,60003771,The University of Manchester,Manchester,United Kingdom,8,"['Cole, Christian', 'Reigan, Philip', 'Gbaj, Abdul', 'Edwards, Philip N.', 'Douglas, Kenneth T.', 'Stratford, Ian J.', 'Freeman, Sally', 'Jaffar, Mohammed']","['7202468472', '8861836800', '8760689100', '8760689000', '7101692635', '7004547474', '16143095900', '7006611420']",60003771;60003771;60003771;60003771;60003771;60003771;60003771;60003771,2003-01-16,16 January 2003,Journal of Medicinal Chemistry,00222623,23041,,Journal,46,2,,207-209,"Thymidine phosphorylase (TP) is an angiogenic growth factor and a target for anticancer drug design. Molecular modeling suggested that 2′-aminoimidazolylmethyluracils would be potent inhibitors of TP. The novel 5-halo-2-amino-imidazolylmethyluracils (4b/4c) were very potent inhibitors of E. coli TP (IC50 ∼ 20 nM). Contrastingly, the corresponding 2′-nitroimidazolylmethyluracil (as bioreductively activated) prodrugs (3b/3c) were 1000-fold less active (IC50 22-24 μM. This approach may be used to selectively deliver TP inhibitors into hypoxic regions of solid tumors where TP is overexpressed.",,52,0,,undefined,,papers by authors,0.0,2003-01-01
